2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
13,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.2,0.0,0.0,0.0,46.6,0.0,12.6,0.0,0.0,3.2,19.9,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,0.0,0.0,5.0,1.0,17.8,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.2,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,69.4,2.2,0.0,0.0,0.0,0.2,18.0,0.0,0.0,0.0,13.5
18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
19,0.0,0.0,0.0,0.2,0.0,15.0,0.0,0.0,0.0,31.8,26.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.2,0.0,0.0,0.0,3.6,0.0,5.9,0.0,32.7,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0
22,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0
23,1.6,6.6,0.0,0.6,0.0,4.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0
24,0.0,0.0,0.0,1.4,0.0,8.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,0.0
25,0.0,0.0,0.0,9.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2.8,0.0,7.2,1.2,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,1.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.2,9.8,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0
29,0.0,0.0,13.2,0.0,0.0,0.0,0.0,23.4,20.1,0.0,1.2,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,3.2,0.0,13.6,7.6,0.0,0.0,0.0,1.2,0.0,4.4,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,25.6,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0
